case_id,diagnosis,status,context_precision,context_recall,faithfulness,answer_relevancy,timestamp,error
case-001,Malaria,completed,1.00,1,0.67,0.71,2025-11-10T16:03:59.107,
case-002,Dengue,completed,0.00,0,0.60,0.77,2025-11-10T16:06:22.514,
case-003,Typhoid Fever,completed,0.00,0,0.60,0.69,2025-11-10T16:08:36.525,
case-004,Cholera,completed,1.00,1,0.67,0.91,2025-11-10T16:11:20.292,
case-005,Leptospirosis,completed,0.00,0,0.38,0.69,2025-11-10T16:13:53.030,
case-006,Tuberculosis,completed,0.50,1,0.47,0.69,2025-11-10T16:16:29.013,
case-007,Cryptococcal Meningitis,completed,0.00,0,0.54,0.66,2025-11-10T16:18:35.193,
case-008,Visceral Leishmaniasis (Kala-Azar),completed,0.00,0,0.50,0.67,2025-11-10T16:21:02.404,
case-009,Cutaneous Leishmaniasis,completed,0.00,0,0.46,0.73,2025-11-10T16:23:07.399,
case-010,Amoebic Liver Abscess,completed,0.00,0,0.53,0.88,2025-11-10T16:25:39.537,
case-011,Scrub Typhus,completed,0.00,0,0.43,0.81,2025-11-10T16:28:01.609,
case-012,Leprosy,completed,1.00,1,0.32,0.70,2025-11-10T16:30:46.458,
case-013,Tuberculosis,completed,0.50,0,0.50,0.73,2025-11-10T16:33:46.513,
case-014,Kaposi's Sarcoma,completed,1.00,1,0.41,0.74,2025-11-10T16:36:51.760,
case-015,Cystic Echinococcosis,completed,1.00,1,0.60,0.75,2025-11-10T16:39:12.989,
case-016,Paragonimiasis,completed,1.00,1,0.39,0.65,2025-11-10T16:42:04.376,
case-017,Melioidosis,completed,0.00,0,0.29,0.78,2025-11-10T16:44:49.966,
case-018,Brucellosis,completed,1.00,1,0.48,0.68,2025-11-10T16:47:58.905,
case-019,Leptospirosis,completed,0.00,0,0.44,0.71,2025-11-10T16:50:31.599,
case-020,Histoplasmosis,completed,0.00,0,0.52,0.68,2025-11-10T16:53:18.155,
case-021,Filoviral Diseases,completed,1.00,1,0.29,0.62,2025-11-10T16:55:49.921,
case-022,Melioidosis,completed,0.50,0,0.68,0.86,2025-11-10T16:58:37.994,
